Date,modelled_flow
22/03/1903, 1608.16483077394
23/03/1903, 1227.35990074622
24/03/1903, 963.337262430727
25/03/1903, 1184.35855391532
26/03/1903, 4631.34951647203
27/03/1903, 15731.9327944159
28/03/1903, 18740.9783284232
29/03/1903, 3826.46079786972
30/03/1903, 3126.04194522663
31/03/1903, 2580.26012120785
01/04/1903, 2017.66555343755
02/04/1903, 1626.02158813276
03/04/1903, 1376.18406670212
04/04/1903, 1292.69605773571
05/04/1903, 1380.00304897276
06/04/1903, 1359.23463649967
07/04/1903, 1205.97999056108
08/04/1903, 1088.09054135725
09/04/1903, 1005.56039273093
10/04/1903, 955.975141803822
11/04/1903, 920.565793063041
12/04/1903, 909.466450311583
13/04/1903, 909.50805395662
14/04/1903, 874.785009358486
15/04/1903, 849.053304462426
16/04/1903, 828.619970796684
17/04/1903, 811.253664523977
18/04/1903, 795.702407938685
19/04/1903, 781.275071281836
20/04/1903, 791.186332971048
21/04/1903, 9715.09732943351
22/04/1903, 20788.327220645
23/04/1903, 8132.69165682966
24/04/1903, 3857.44816822353
25/04/1903, 2986.72228102466
26/04/1903, 2266.80100969608
27/04/1903, 1789.77229616625
28/04/1903, 1479.67182340709
29/04/1903, 1276.10112255257
30/04/1903, 1137.05915325334
01/05/1903, 1041.95726937148
02/05/1903, 984.243351077542
03/05/1903, 943.338911508483
04/05/1903, 912.97958485553
05/05/1903, 888.977517353192
06/05/1903, 868.732282370889
07/05/1903, 851.236490884135
08/05/1903, 834.887927233917
09/05/1903, 819.987126096746
10/05/1903, 805.864509380423
11/05/1903, 791.759621039167
12/05/1903, 778.298238027174
13/05/1903, 765.245043544763
14/05/1903, 752.473324996492
15/05/1903, 740.161522230381
16/05/1903, 728.170544810915
17/05/1903, 716.008830243275
18/05/1903, 704.204282055618
19/05/1903, 692.703012967618
20/05/1903, 681.410144642414
21/05/1903, 670.151750276379
22/05/1903, 659.30260636712
23/05/1903, 648.684966431281
24/05/1903, 638.180828853157
25/05/1903, 627.937924929676
26/05/1903, 617.89917916791
27/05/1903, 608.054577179089
28/05/1903, 598.400591131772
29/05/1903, 588.932462840519
30/05/1903, 579.647452855152
31/05/1903, 570.540729547522
01/06/1903, 561.608677843561
02/06/1903, 552.84823951317
03/06/1903, 544.255734755853
04/06/1903, 535.827359094921
05/06/1903, 527.560418543112
06/06/1903, 519.450674990877
07/06/1903, 511.495536470414
08/06/1903, 503.69188103712
09/06/1903, 496.035995837984
10/06/1903, 488.525450438129
11/06/1903, 481.166892821287
12/06/1903, 474.814138834808
13/06/1903, 468.46680592517
14/06/1903, 459.873986614707
15/06/1903, 453.054331972884
16/06/1903, 446.361739296934
17/06/1903, 439.767099849885
18/06/1903, 433.313769973684
19/06/1903, 426.993736312002
20/06/1903, 420.875201143726
21/06/1903, 414.835952211334
22/06/1903, 408.698706527247
23/06/1903, 402.804902414826
24/06/1903, 397.037664286999
25/06/1903, 391.383470651763
26/06/1903, 385.832665813043
27/06/1903, 380.36532609239
28/06/1903, 375.033078916435
29/06/1903, 369.82230730155
30/06/1903, 364.735872895959
01/07/1903, 359.791437358131
02/07/1903, 354.758212564287
03/07/1903, 349.839532188805
04/07/1903, 345.046596541772
05/07/1903, 340.158574797516
06/07/1903, 335.533436114021
07/07/1903, 331.112015965014
08/07/1903, 326.885105989005
09/07/1903, 322.39598342076
10/07/1903, 317.859622757352
11/07/1903, 313.621292953458
12/07/1903, 309.483471239182
13/07/1903, 305.417654826187
14/07/1903, 301.400914390269
15/07/1903, 297.484012002627
16/07/1903, 293.605692543054
17/07/1903, 289.807541022339
18/07/1903, 286.069455036512
19/07/1903, 282.390704675038
20/07/1903, 278.787791086786
21/07/1903, 275.247422635809
22/07/1903, 271.768390537164
23/07/1903, 268.349751413988
24/07/1903, 265.013255637462
25/07/1903, 261.73107556743
26/07/1903, 258.442710322389
