Date,Storage Routing: Default Link #115 - Storage routing: Downstream Flow (ML.day^-1),Storage Routing: Default Link #115 - Storage routing: Upstream Flow (ML.day^-1),Storage Routing: Default Link #115 - Storage routing: Storage Volume (ML)
1896-11-06,410.083462154505,411.2064,8.68225723571406
1896-11-07,349.882638006606,348.908,7.70761922910844
1896-11-08,239.675928592924,237.7719,5.80359063618403
1896-11-09,193.147855095733,192.2805,4.93623554045134
1896-11-10,157.859747815193,157.1666,4.24308772525834
1896-11-11,130.594458924615,130.032,3.68062880064303
1896-11-12,109.487828401931,109.032,3.22480039871173
1896-11-13,93.1183226746202,92.7495,2.85597772409154
1896-11-14,80.3929289323652,80.0949,2.55794879172636
1896-11-15,127.095627856181,128.1441,3.60642093554539
1896-11-16,116.318673495146,116.0868,3.37454744039899
1896-11-17,85.4374390265557,84.7403,2.67740841384335
1896-11-18,74.0485051012786,73.7761,2.4050033125648
1896-11-19,65.4325867189319,65.2195,2.19191659363292
1896-11-20,58.6790655253137,58.5071,2.01995106831926
1896-11-21,65.196176758469,65.3622,2.18597430985027
1896-11-22,54.1034461741199,53.8181,1.90062813573037
1896-11-23,58.4866469282103,58.601,2.01498120752007
1896-11-24,53.1700975521704,53.0311,1.8759836553497
1896-11-25,48.7451552966319,48.6268,1.75762835871775
1896-11-26,97.1822693581791,98.3736,2.94895900053866
1896-11-27,304.867427898003,308.8697,6.95123110253614
1896-11-28,298.315545000776,298.2032,6.83888610176003
1896-11-29,210.895829934478,209.3296,5.27265616728226
1896-11-30,154.391675548349,153.292,4.17298061893354
1896-12-01,127.498293645072,126.9403,3.61498697386161
1896-12-02,106.991000562909,106.5455,3.16948641095239
1896-12-03,91.0949788574835,90.7348,2.80930755346887
1896-12-04,78.7296539703951,78.4385,2.51815358307378
1896-12-05,69.0872434784262,68.8522,2.28311010464762
1896-12-06,61.5380861349019,61.3483,2.09332396974569
1896-12-07,55.6000981383417,55.4467,1.939925831404
1896-12-08,71.7558875132398,72.1649,2.34893831816422
1896-12-09,134.449421355563,135.8623,3.7618169626013
1896-12-10,108.6416273714,108.0859,3.20608959120103
1896-12-11,74.8137691388455,74.0313,2.42362045235549
1896-12-12,65.2601379154496,65.0241,2.18758253690587
1896-12-13,58.1541976019359,57.973,2.00638493496992
1896-12-14,52.5829596742471,52.437,1.86042526072277
1896-12-15,94.718908115956,95.7512,2.89271714476674
1896-12-16,85.163744028422,84.942,2.67097311634471
1896-12-17,62.4054590207154,61.8499,2.11541409562927
1896-12-18,110.970809604029,112.1129,3.25750449160057
1896-12-19,98.0887395807257,97.8008,2.96956491087482
1896-12-20,70.0172432604538,69.3538,2.306121650421
1896-12-21,61.1728233927217,60.9507,2.08399825769927
1896-12-22,54.5492368676445,54.3776,1.91236139005476
1896-12-23,49.3367583853496,49.198,1.77360300470515
1896-12-24,45.2115281548757,45.0991,1.66117484982948
1896-12-25,41.9253062410464,41.8339,1.56976860878304
1896-12-26,39.2842643626841,39.2095,1.49500424609896
1896-12-27,37.1406113636129,37.079,1.43339288248611
1896-12-28,35.3810390120465,35.3298,1.38215387043964
1896-12-29,33.9205159907001,33.8775,1.3391378797395
1896-12-30,32.6862152469568,32.6495,1.30242263278269
1896-12-31,31.6301882249009,31.5985,1.27073440788176
1897-01-01,30.7134243647947,30.6857,1.24301004308709
1897-01-02,29.9098712359747,29.8854,1.21853880711235
1897-01-03,29.1841427722708,29.1619,1.19629603484158
1897-01-04,28.5224024136323,28.502,1.17589362120929
1897-01-05,27.9214315536691,27.9028,1.15726206754021
1897-01-06,27.3534026459795,27.3357,1.13955942156072
1897-01-07,26.8195223660073,26.8028,1.12283705555346
1897-01-08,26.3173066780098,26.3015,1.10703037754369
1897-01-09,189.558063548343,193.3183,4.86726682920058
1897-01-10,180.178372123886,179.9966,4.68549470531411
1897-01-11,116.922908582429,115.6251,3.38768612288467
1897-01-12,96.2297320776801,95.7693,2.92725404520457
1897-01-13,80.7566309275279,80.396,2.56662311767666
1897-01-14,68.7612964095556,68.4697,2.27502670812105
1897-01-15,87.617931445044,88.0714,2.72849526307704
1897-01-16,482.484655204632,489.5644,9.80824005844485
1897-01-17,392.298547823494,390.8886,8.39829223495064
1897-01-18,207.903249839658,204.7214,5.2164423952926
1897-01-19,168.233599309516,167.4677,4.45054308577674
1897-01-20,137.97096735304,137.3559,3.83547573273708
1897-01-21,114.574451394386,114.0755,3.33652433835076
1897-01-22,96.4523918721867,96.0482,2.93233246616411
1897-01-23,82.392415626982,82.0656,2.60551683918212
1897-01-24,71.4457958098114,71.1816,2.34132102937072
1897-01-25,62.9014106290646,62.6881,2.12801040030613
1897-01-26,56.2077062891651,56.0355,1.95580411114101
1897-01-27,50.9372225453427,50.798,1.81658156579835
1897-01-28,46.7627411414285,46.6499,1.70374042436985
1897-01-29,43.4326312650651,43.3408,1.61190915930475
1897-01-30,40.753366748485,40.6782,1.53674241081972
1897-01-31,38.5762910363937,38.5143,1.47475137442599
1897-02-01,36.7868115621365,36.7352,1.42313981228948
1897-02-02,35.2969503555736,35.2535,1.37968945671592
1897-02-03,34.0389464938278,34.0019,1.34264296288812
1897-02-04,32.9680080849615,32.9362,1.31083487792665
1897-02-05,32.0285171944522,32.0004,1.28271768347441
1897-02-06,31.1946298283143,31.1695,1.25758785516015
1897-02-07,30.4494975307313,30.4269,1.23499032442885
1897-02-08,29.7720646636676,29.7514,1.21432566076121
1897-02-09,29.1486218294425,29.1295,1.19520383131866
1897-02-10,28.5671275674282,28.5492,1.17727626389049
1897-02-11,28.0168493685567,27.9998,1.16022689533381
1897-02-12,27.4995054655579,27.4834,1.14412142977591
1897-02-13,26.9978883597864,26.9822,1.12843306998947
1897-02-14,26.5154571966761,26.5003,1.11327587331334
1897-02-15,26.050571315414,26.0359,1.09860455789933
1897-02-16,25.5993042555358,25.585,1.08430030236355
1897-02-17,25.1618274344598,25.1479,1.07037286790373
1897-02-18,24.7301037538284,24.7163,1.05656911407536
1897-02-19,24.3076653079864,24.2941,1.04300380608894
1897-02-20,23.8946207558976,23.8813,1.02968305019131
1897-02-21,23.4891331555547,23.476,1.01654989463665
1897-02-22,23.0925981230004,23.0797,1.0036517716362
1897-02-23,22.6994429668709,22.6866,0.990808804765275
1897-02-24,22.3127850778438,22.3001,0.978123726921513
1897-02-25,21.9327223789326,21.9202,0.965601347988926
1897-02-26,21.558483611145,21.5461,0.953217736843875
1897-02-27,21.1896572091731,21.1774,0.940960527670759
1897-02-28,20.8350355369862,20.8232,0.929124990684584
1897-03-01,4089.58855950112,4137.3829,48.7234654895631
1897-03-02,2249.55416224287,2231.9515,31.1208032466886
1897-03-03,530.770816333589,510.1856,10.5355869130999
1897-03-04,347.780131180609,344.9174,7.67285573249095
1897-03-05,277.60376652956,276.4105,6.47958920293115
1897-03-06,224.534606931208,223.5814,5.52638227172269
1897-03-07,183.580195244037,182.8055,4.7516870276859
1897-03-08,151.925303725862,151.2965,4.12288330182355
1897-03-09,127.422605939952,126.9131,3.61337736187158
1897-03-10,108.421070597745,108.0089,3.20120676412691
1897-03-11,93.651571575242,93.3186,2.86823518888491
1897-03-12,82.1383465450092,81.8696,2.59948864387571
1897-03-13,73.1309704177562,72.9141,2.38261822611955
1897-03-14,66.0525441111759,65.8774,2.20747411494367
1897-03-15,60.4593326399045,60.3176,2.06574147503914
1897-03-16,56.0102915631787,55.8952,1.95064991186049
1897-03-17,52.4430387688325,52.3491,1.85671114302796
1897-03-18,49.5557081518677,49.4785,1.77950299116025
1897-03-19,47.1944787748907,47.1305,1.71552421626955
1897-03-20,45.2371435405694,45.1835,1.66188067570017
1897-03-21,43.5926203250803,43.5471,1.6163603506199
1897-03-22,42.1918137368214,42.1527,1.57724661379847
1897-03-23,40.9799019426321,40.9458,1.54314467116637
1897-03-24,39.9148773198169,39.8847,1.51296735134946
1897-03-25,38.9647908338872,38.9377,1.48587651746222
1897-03-26,38.1049599442091,38.0803,1.46121657325313
1897-03-27,37.3165345576129,37.2938,1.43848201564024
1897-03-28,36.5841270739547,36.5629,1.41725494168558
1897-03-29,35.8943877787198,35.8743,1.3971671629658
1897-03-30,35.2451952403895,35.2262,1.37817192257628
1897-03-31,34.621142286517,34.6028,1.35982963605924
1897-04-01,34.0215998750091,34.0039,1.34212976105014
1897-04-02,33.4438309992784,33.4267,1.32499876177178
1897-04-03,32.8834852161012,32.8668,1.30831354567054
1897-04-04,32.3379137179215,32.3216,1.29199982774899
1897-04-05,31.8053900514428,31.7894,1.27600977630615
1897-04-06,31.284408380813,31.2687,1.26030139549316
1897-04-07,30.773663341242,30.7582,1.24483805425118
1897-04-08,30.2725346798107,30.2573,1.22960337444046
