Date,picnic_sacr_fors_dsflow
16/01/1987, 64.1996339477721
17/01/1987, 127.351611550777
18/01/1987, 170.146140758829
19/01/1987, 150.56103863777
20/01/1987, 134.681971438762
21/01/1987, 121.567775116569
22/01/1987, 110.71495999336
23/01/1987, 101.710940368601
24/01/1987, 94.2202494259266
25/01/1987, 87.9674867847525
26/01/1987, 82.7271190166241
27/01/1987, 78.3159053946714
28/01/1987, 74.5840264479816
29/01/1987, 123.612288693366
30/01/1987, 153.724234656122
31/01/1987, 138.687520071609
01/02/1987, 126.491563773226
02/02/1987, 116.374142453243
03/02/1987, 108.039769541896
04/02/1987, 113.641580083509
05/02/1987, 211.153942700725
06/02/1987, 286.940179744833
07/02/1987, 252.570946057121
08/02/1987, 225.451311609992
09/02/1987, 203.065553073868
10/02/1987, 184.550230667512
11/02/1987, 169.199705696117
12/02/1987, 156.437754511748
13/02/1987, 176.629431243975
14/02/1987, 270.727860306458
15/02/1987, 303.34640874126
16/02/1987, 285.388490494642
17/02/1987, 283.834543754131
18/02/1987, 255.52394276494
19/02/1987, 232.548579121318
20/02/1987, 213.49121293123
21/02/1987, 197.639418109663
22/02/1987, 184.409906508763
23/02/1987, 173.327398672333
24/02/1987, 164.000498414081
25/02/1987, 156.116262157125
26/02/1987, 149.460612521663
27/02/1987, 143.685402315091
28/02/1987, 138.713366190777
01/03/1987, 134.414428203643
02/03/1987, 148.804837400299
03/03/1987, 176.274549693098
04/03/1987, 195.46899129242
05/03/1987, 213.968223771551
06/03/1987, 197.480459760043
07/03/1987, 184.120850786886
08/03/1987, 172.944606704675
09/03/1987, 163.552621110904
10/03/1987, 155.746997745137
11/03/1987, 161.888517960184
12/03/1987, 160.087218475695
13/03/1987, 157.145394878429
14/03/1987, 150.004287378333
15/03/1987, 143.936340605309
16/03/1987, 138.674664041831
17/03/1987, 134.145653673741
18/03/1987, 130.19507726299
19/03/1987, 126.722343609388
20/03/1987, 123.642298414843
21/03/1987, 120.887085624033
22/03/1987, 131.88518145189
23/03/1987, 149.903740245666
24/03/1987, 142.518525629334
25/03/1987, 179.11323973149
26/03/1987, 203.599753369175
27/03/1987, 187.735120113431
28/03/1987, 174.916052952909
29/03/1987, 164.235970924434
30/03/1987, 157.135724197618
31/03/1987, 149.206654407294
01/04/1987, 142.479888900578
02/04/1987, 148.358193969581
03/04/1987, 160.179416278019
04/04/1987, 187.339762491192
05/04/1987, 232.041159955891
06/04/1987, 267.83445905527
07/04/1987, 287.961938867857
08/04/1987, 287.616485803873
09/04/1987, 260.395382451239
10/04/1987, 242.120541080596
11/04/1987, 223.09193334346
12/04/1987, 207.249210930361
13/04/1987, 194.038018236703
14/04/1987, 212.808990535688
15/04/1987, 222.817459672315
16/04/1987, 220.675787481437
17/04/1987, 218.889846986565
18/04/1987, 214.835995233318
19/04/1987, 200.944879102205
20/04/1987, 189.277985393443
21/04/1987, 179.449272529019
22/04/1987, 171.126478600183
23/04/1987, 176.88985655437
24/04/1987, 326.302774489458
25/04/1987, 543.259579982768
26/04/1987, 664.070104725732
27/04/1987, 707.206421841732
28/04/1987, 663.01522688171
29/04/1987, 623.579103006473
30/04/1987, 640.922616119961
01/05/1987, 737.958285716002
02/05/1987, 753.383098096497
03/05/1987, 664.94589195622
04/05/1987, 599.49039362601
05/05/1987, 634.199200103939
06/05/1987, 641.685053093895
07/05/1987, 575.583045179671
08/05/1987, 526.753875994385
09/05/1987, 735.199245092277
10/05/1987, 899.800797867567
11/05/1987, 792.19380199373
12/05/1987, 706.054213560702
13/05/1987, 634.971767638548
14/05/1987, 576.200378149246
15/05/1987, 527.495874406792
16/05/1987, 487.024362340215
17/05/1987, 453.290392852829
18/05/1987, 425.09640722591
19/05/1987, 401.349315208118
20/05/1987, 381.328408180773
21/05/1987, 364.332705184729
22/05/1987, 349.816707639534
23/05/1987, 337.334866996322
24/05/1987, 326.545008257505
25/05/1987, 317.088318712609
26/05/1987, 308.755841036897
27/05/1987, 301.366151289548
28/05/1987, 294.740134757198
29/05/1987, 288.747241173171
30/05/1987, 283.278250659501
31/05/1987, 278.244661348658
01/06/1987, 273.571915168262
02/06/1987, 269.202846342065
03/06/1987, 265.087952143241
04/06/1987, 261.1871822305
05/06/1987, 257.467030475745
06/06/1987, 253.900846008144
07/06/1987, 250.466517176483
08/06/1987, 247.147109563865
09/06/1987, 243.925871006783
10/06/1987, 240.792215287438
11/06/1987, 237.751054120818
12/06/1987, 234.748898563415
13/06/1987, 231.827421716697
14/06/1987, 228.99949639332
15/06/1987, 226.142750701367
16/06/1987, 223.376269280877
17/06/1987, 329.314939707505
18/06/1987, 462.00526955539
19/06/1987, 473.725551747349
20/06/1987, 446.064619681814
21/06/1987, 434.867675910502
22/06/1987, 398.53076419051
23/06/1987, 385.321727658861
24/06/1987, 385.617818282955
25/06/1987, 357.656456789513
26/06/1987, 334.683808592966
27/06/1987, 315.42309937715
28/06/1987, 299.15599349058
29/06/1987, 285.412338422231
30/06/1987, 273.638534579155
01/07/1987, 263.560332846084
02/07/1987, 254.847724315629
03/07/1987, 247.257662715477
04/07/1987, 240.591042903978
05/07/1987, 234.689805715338
06/07/1987, 229.519081173588
07/07/1987, 233.376602224306
08/07/1987, 227.62585253299
09/07/1987, 222.492560937611
10/07/1987, 217.86207047467
11/07/1987, 213.646668340489
12/07/1987, 209.775531364421
13/07/1987, 206.192957119299
14/07/1987, 202.850094635734
15/07/1987, 199.706160971269
16/07/1987, 196.731644107983
17/07/1987, 193.899645292358
18/07/1987, 191.190674253098
19/07/1987, 188.58577128622
20/07/1987, 186.070415109464
21/07/1987, 183.632766000822
22/07/1987, 181.263874095781
23/07/1987, 178.954873566444
24/07/1987, 176.700552538355
25/07/1987, 174.493810186105
26/07/1987, 172.331068834289
27/07/1987, 170.20828255116
28/07/1987, 168.121975638061
29/07/1987, 166.06946582958
30/07/1987, 164.050517261027
31/07/1987, 162.061355501272
01/08/1987, 160.100794296806
02/08/1987, 158.167821572499
03/08/1987, 156.261050815485
04/08/1987, 154.380826203269
05/08/1987, 152.525705873145
06/08/1987, 150.693397768941
07/08/1987, 148.884844142075
08/08/1987, 147.099763607474
09/08/1987, 145.336978863048
10/08/1987, 143.595865435505
11/08/1987, 141.876008393295
12/08/1987, 140.176912925575
13/08/1987, 138.50064218469
14/08/1987, 136.844165629364
15/08/1987, 135.207170918158
16/08/1987, 133.589698947275
17/08/1987, 131.992479904403
18/08/1987, 130.413893795891
19/08/1987, 128.854354867123
20/08/1987, 127.312374085256
21/08/1987, 125.789169275133
22/08/1987, 124.283828154967
23/08/1987, 122.797075236265
24/08/1987, 121.327727916878
25/08/1987, 119.875789295229
26/08/1987, 118.441941896181
27/08/1987, 117.025522753249
28/08/1987, 115.625478117332
29/08/1987, 114.241601645266
30/08/1987, 112.875546277461
31/08/1987, 111.525874653188
01/09/1987, 110.192277359192
02/09/1987, 108.874502853373
03/09/1987, 107.57230382098
04/09/1987, 106.285715789511
05/09/1987, 105.015619973914
06/09/1987, 103.759808635579
07/09/1987, 102.518717015523
08/09/1987, 101.294415919005
09/09/1987, 100.086687096373
10/09/1987, 98.9141750595299
11/09/1987, 97.7089048298762
12/09/1987, 96.5418009144323
13/09/1987, 95.3879779996709
14/09/1987, 94.2474385063996
15/09/1987, 93.119792436243
16/09/1987, 92.0042581294546
17/09/1987, 90.9020808465156
18/09/1987, 89.8145073916198
19/09/1987, 88.7396376424618
20/09/1987, 87.6770912924039
21/09/1987, 86.6282896822178
22/09/1987, 85.5921818755097
23/09/1987, 84.5697429189632
24/09/1987, 83.5600372802743
25/09/1987, 82.5637040683641
26/09/1987, 81.6283556273642
27/09/1987, 80.6149623471885
28/09/1987, 79.6346902919665
29/09/1987, 78.6815479095939
30/09/1987, 77.7392198927447
01/10/1987, 76.8076829365644
02/10/1987, 75.8884336834169
03/10/1987, 74.9808895254059
04/10/1987, 74.0832325791035
05/10/1987, 73.1959513709378
06/10/1987, 72.3189750177617
07/10/1987, 71.453469451192
08/10/1987, 70.5975111425635
09/10/1987, 69.75170728204
