Date,Flow [ML/d],M1,M2,M3,M4
2010-06-16,176.5247812,176.5247812,179.74912499642488,183.2989945293523,179.9412326185137
2010-06-17,174.9445016,174.9445016,178.10440314045988,181.57334456303138,177.8433201231666
2010-06-18,175.0726782,175.0726782,176.77418120640004,179.94377394869602,176.68811117902524
2010-06-19,174.458502,174.458502,175.80600656901476,178.4894573248065,175.01034831512447
2010-06-20,170.400681,170.400681,174.49021181685205,177.13364167819495,174.65465510088026
2010-06-21,168.9278876,168.9278876,172.7619378547533,175.7337645654038,173.7815294349654
2010-06-22,167.4844725,167.4844725,170.92631327299696,174.2182923688011,171.81414264879808
2010-06-23,166.9550147,166.9550147,169.33637569503807,172.6386894952725,168.26130423157605
2010-06-24,168.0015262,168.0015262,168.38582118684047,171.16758440471733,167.10542515107608
2010-06-25,167.195507,167.195507,167.87198541433352,169.94509689440736,167.54725836059086
2010-06-26,164.1833963,164.1833963,167.0686648142214,168.91107681381982,167.26416009295312
2010-06-27,163.8538673,163.8538673,166.00815971499202,167.9394699803532,166.8448410223903
2010-06-28,162.1817187,162.1817187,164.79445253551268,166.932885225033,165.66626116609015
2010-06-29,157.9382547,157.9382547,163.01196948055536,165.74509259371067,162.5909433245495
2010-06-30,156.6454392,156.6454392,160.89027110860638,164.28692307046995,161.52805064686675
2010-07-01,155.3718435,155.3718435,158.85174768718443,162.60149698028002,159.80620665627725
2010-07-02,154.2351585,154.2351585,157.0990977849353,160.8193270172599,155.5060312723947
2010-07-03,153.1762246,153.1762246,155.6309136021023,159.07421931332226,154.8859120541381
2010-07-04,152.4884556,152.4884556,154.4238833857014,157.46340869689013,155.0230027968317
2010-07-05,151.4526745,151.4526745,153.37438116845755,156.02560219257677,152.8163649009058
2010-07-06,149.6024289,149.6024289,152.24302536444506,154.7182627058095,152.19379438052556
2010-07-07,149.8042445,149.8042445,151.22832932315063,153.51797182174238,151.66905975310445
2010-07-08,149.1429058,149.1429058,150.414303436809,152.43581216328764,149.95397864075352
2010-07-09,146.3753121,146.3753121,149.37926080614923,151.40698245155428,149.15453650588526
2010-07-10,144.5901411,144.5901411,147.9767029410643,150.3160922783478,148.8690625282122
2010-07-11,143.4561406,143.4561406,146.43240072904356,149.10057033308766,147.1488466639931
2010-07-12,142.3334958,142.3334958,144.95959856024095,147.7806952501418,144.48036406047837
2010-07-13,142.7195123,142.7195123,143.86893816354848,146.47088333402124,142.9215434685067
2010-07-14,143.3796431,143.3796431,143.33938820480125,145.33451274172793,142.84700338516177
2010-07-15,140.5181224,140.5181224,142.73778861348592,144.38345395912782,142.58662669520962
2010-07-16,137.977887,137.977887,141.57517434431716,143.45809516675394,142.1972862872201
2010-07-17,136.914955,136.914955,140.06383344406842,142.4107708827943,141.8153380245482
2010-07-18,135.8636285,135.8636285,138.5513482629816,141.21146234543528,138.152521349168
2010-07-19,134.8205463,134.8205463,137.1901743665806,139.91919837421972,135.96434512495
2010-07-20,135.8119841,135.8119841,136.30903784001399,138.6821470915499,136.29115097213239
2010-07-21,135.8837396,135.8837396,135.92128209741134,137.65218545337106,135.17538050394808
2010-07-22,131.7567321,131.7567321,135.1435009560071,136.76010726795658,135.09254572420784
2010-07-23,130.7566921,130.7566921,133.86567722244976,135.8351052300369,135.1579145955816
2010-07-24,130.661425,130.661425,132.58540826587236,134.81360689126262,133.68950876311868
2010-07-25,130.8757269,130.8757269,131.69225588819162,133.77868176641684,130.0662189677292
2010-07-26,130.1694653,130.1694653,131.09495763956633,132.83454907016218,129.87505163245066
2010-07-27,128.7829401,128.7829401,130.4621797654914,131.99532113074213,131.30677644370726
2010-07-28,127.6841729,127.6841729,129.65041771939707,131.20189779591036,130.17949957493744
2010-07-29,129.60093,129.60093,129.18147431339028,130.4907618918905,128.8219844125202
2010-07-30,126.9353764,126.9353764,128.69669471908682,129.85832562284227,128.16684049658394
2010-07-31,123.0662167,123.0662167,127.48239379063749,129.13162731502044,128.15145695188173
2010-08-01,122.1382846,122.1382846,125.77349743942264,128.15429937026994,127.32983723869562
2010-08-02,121.2174173,121.2174173,124.0781460153197,126.92421350100444,124.77403884464388
2010-08-03,120.3037996,120.3037996,122.63337313656204,125.55495836883345,120.58890087932876
2010-08-04,119.4010603,119.4010603,121.43236574261392,124.17640851145377,121.05728625555791
2010-08-05,118.5134616,118.5134616,120.39109388671851,122.873606451956,121.1570593474932
2010-08-06,117.6283717,117.6283717,119.43597690596516,121.67748439477363,118.79818989073203
2010-08-07,116.7484922,116.7484922,118.5227998716036,120.58227978564067,118.55841553590876
2010-08-08,115.8812319,115.8812319,117.63098570772664,119.5665986750873,117.89376643944352
2010-08-09,115.01803,115.01803,116.75176603787337,118.60734076136592,116.43634538004581
2010-08-10,114.166929,114.166929,115.88232050757782,117.68602814479775,116.03611207646343
2010-08-11,113.3246962,113.3246962,115.02209259676995,116.79012121565056,115.00827835227383
2010-08-12,114.1421911,114.1421911,114.4393359163662,115.96907105559374,114.10682959124678
2010-08-13,114.2003404,114.2003404,114.18644589062585,115.29802598619317,113.67892032741706
2010-08-14,110.8046027,110.8046027,113.57956501393348,114.69884732784064,113.59160741665696
2010-08-15,109.9806621,109.9806621,112.54454324260796,114.02988711989269,113.60205749921191
2010-08-16,109.1623323,109.1623323,111.37589700328384,113.22159017224998,112.3829096137539
