Date,modelled_flow
12/07/1889, 25.3508768207821
13/07/1889, 24.7313227514561
14/07/1889, 24.2815160063069
15/07/1889, 23.9220723462252
16/07/1889, 23.6111963993325
17/07/1889, 23.3269398138643
18/07/1889, 23.0577494193811
19/07/1889, 22.7975893335301
20/07/1889, 22.5433137833635
21/07/1889, 22.2932790746326
22/07/1889, 22.046621449436
23/07/1889, 21.8028819906542
24/07/1889, 21.5618119354228
25/07/1889, 21.3232713632456
26/07/1889, 21.0871767770888
27/07/1889, 20.8534738632425
28/07/1889, 20.6221235045474
29/07/1889, 20.393094468143
30/07/1889, 20.1663596448363
31/07/1889, 19.9418941311277
01/08/1889, 19.719674247367
02/08/1889, 19.4996770441943
03/08/1889, 19.281880049678
04/08/1889, 19.0662611407294
05/08/1889, 18.8527984771078
06/08/1889, 18.6414704673419
