Date,picnic_sacr_fors_dsflow
10/02/1901, 803.875091151768
11/02/1901, 1064.25586689952
12/02/1901, 1139.28640909859
13/02/1901, 788.958525896013
14/02/1901, 571.356338469421
15/02/1901, 480.662580324223
16/02/1901, 466.44573878
17/02/1901, 455.609366246649
18/02/1901, 445.269642370683
19/02/1901, 435.424518364169
20/02/1901, 425.955676122681
21/02/1901, 416.333338153183
22/02/1901, 407.09677802895
23/02/1901, 398.542215024549
24/02/1901, 390.719844694444
25/02/1901, 382.450840737813
26/02/1901, 374.400762432773
27/02/1901, 366.146210541605
28/02/1901, 360.244719770166
01/03/1901, 352.79402142906
02/03/1901, 343.340009390267
03/03/1901, 337.876131124582
04/03/1901, 348.503158739107
05/03/1901, 572.093611878506
06/03/1901, 849.744267081764
07/03/1901, 641.110262280473
08/03/1901, 575.725313258757
09/03/1901, 408.889634367681
10/03/1901, 399.856744938827
11/03/1901, 391.088355714464
12/03/1901, 383.685517510672
13/03/1901, 398.187078023117
14/03/1901, 722.500481682472
15/03/1901, 1259.326164282
16/03/1901, 1103.56120830706
17/03/1901, 688.42795897543
18/03/1901, 526.052212054893
19/03/1901, 607.113984816345
20/03/1901, 866.653444154644
21/03/1901, 953.493175232702
22/03/1901, 690.74064340996
23/03/1901, 566.093502319815
24/03/1901, 644.311693735071
25/03/1901, 916.585740884052
26/03/1901, 1523.51044870834
27/03/1901, 2360.10664839921
28/03/1901, 2192.44850602622
29/03/1901, 1454.87657561123
30/03/1901, 1062.48515154554
31/03/1901, 870.987965136376
01/04/1901, 770.341902330933
02/04/1901, 726.911384675812
03/04/1901, 700.273080348737
04/04/1901, 680.631247170663
05/04/1901, 663.011126455984
06/04/1901, 648.180295589788
07/04/1901, 639.054518150412
08/04/1901, 744.378251073307
09/04/1901, 895.348584277057
10/04/1901, 765.275510661797
11/04/1901, 690.525204453379
12/04/1901, 801.253259699232
13/04/1901, 1152.53003194117
14/04/1901, 1421.97945940061
15/04/1901, 1233.10157142108
16/04/1901, 980.27593132966
17/04/1901, 833.516532180042
18/04/1901, 718.659087926368
19/04/1901, 674.397681161412
20/04/1901, 649.671560208526
21/04/1901, 631.565086420748
22/04/1901, 615.594851801502
23/04/1901, 601.75260305712
24/04/1901, 588.811524998649
25/04/1901, 576.360643329381
26/04/1901, 564.333262808973
27/04/1901, 552.667643826533
28/04/1901, 541.276772472841
29/04/1901, 530.265518370657
30/04/1901, 519.573498441158
01/05/1901, 509.355525352183
02/05/1901, 499.426341841984
03/05/1901, 489.436872153067
04/05/1901, 480.368356091315
05/05/1901, 471.485109340071
06/05/1901, 462.311728376201
07/05/1901, 453.163224346324
08/05/1901, 444.702099541412
09/05/1901, 437.11269403101
10/05/1901, 429.085445566955
11/05/1901, 420.751830969458
12/05/1901, 412.673390293372
13/05/1901, 405.399089488442
14/05/1901, 398.57816654662
15/05/1901, 392.041648338249
16/05/1901, 385.570964826947
17/05/1901, 379.194686985546
18/05/1901, 372.801870092509
19/05/1901, 367.969487568039
20/05/1901, 363.209088005176
21/05/1901, 356.359497150975
22/05/1901, 351.017349488015
23/05/1901, 345.26888994776
24/05/1901, 352.563266780608
25/05/1901, 619.806173820676
26/05/1901, 1233.97122368556
27/05/1901, 1419.52965003411
28/05/1901, 1087.61845715044
29/05/1901, 832.395824302326
30/05/1901, 816.607863646309
31/05/1901, 637.468396816584
01/06/1901, 546.573404698338
02/06/1901, 521.021396398155
03/06/1901, 506.954519063598
04/06/1901, 495.940703136962
05/06/1901, 485.818767590235
06/06/1901, 476.14740776782
07/06/1901, 466.792880717166
08/06/1901, 457.756742737444
09/06/1901, 449.122058734887
10/06/1901, 440.675351864806
11/06/1901, 432.186352041204
12/06/1901, 424.108169244558
13/06/1901, 415.975190454169
14/06/1901, 408.438487653686
15/06/1901, 401.181772474536
16/06/1901, 393.73988302761
17/06/1901, 386.52996151336
18/06/1901, 379.673242608153
19/06/1901, 373.003166387181
20/06/1901, 366.513145540137
21/06/1901, 360.198088563623
22/06/1901, 354.051147731277
23/06/1901, 348.068420789497
24/06/1901, 342.351822710138
25/06/1901, 337.297161081244
26/06/1901, 332.263297614593
27/06/1901, 326.073219995458
28/06/1901, 320.461531461848
29/06/1901, 315.379768926516
30/06/1901, 310.393985924896
01/07/1901, 305.522964129138
02/07/1901, 300.798217732651
03/07/1901, 296.190628668432
04/07/1901, 291.699257755238
05/07/1901, 287.367908768266
06/07/1901, 283.155017798444
07/07/1901, 278.933775025375
08/07/1901, 274.871785967331
09/07/1901, 270.862285547212
10/07/1901, 266.993117841278
11/07/1901, 263.226040298437
12/07/1901, 259.650189700772
13/07/1901, 256.394902158414
14/07/1901, 252.928888921258
15/07/1901, 248.989545787464
16/07/1901, 246.107773788934
17/07/1901, 243.297696005748
18/07/1901, 239.46567333022
19/07/1901, 236.492453314558
20/07/1901, 234.061325270325
21/07/1901, 232.376348000751
22/07/1901, 228.867148621141
23/07/1901, 224.956387023635
24/07/1901, 221.503713508233
25/07/1901, 218.656280057817
26/07/1901, 215.910539700132
27/07/1901, 213.293063182354
28/07/1901, 210.695433050549
29/07/1901, 208.172411862317
30/07/1901, 205.700247829518
31/07/1901, 203.279226389564
01/08/1901, 200.910168270751
02/08/1901, 199.432524414882
03/08/1901, 198.687007372956
04/08/1901, 196.569229173881
05/08/1901, 194.090806734327
06/08/1901, 190.661403042773
07/08/1901, 189.959211886617
08/08/1901, 188.046752199305
09/08/1901, 184.867535024341
10/08/1901, 181.869786850312
11/08/1901, 179.700678905193
12/08/1901, 177.856703187481
13/08/1901, 176.377934488536
14/08/1901, 174.746466964811
15/08/1901, 172.994746792931
16/08/1901, 171.279674634733
17/08/1901, 170.458935257896
18/08/1901, 170.210204333755
19/08/1901, 166.029923735964
20/08/1901, 163.567114068255
21/08/1901, 161.927589846536
22/08/1901, 160.315671969999
23/08/1901, 158.732115454815
24/08/1901, 157.178345941641
25/08/1901, 156.192877495979
26/08/1901, 155.206131745374
27/08/1901, 152.64558363987
28/08/1901, 151.186275510341
29/08/1901, 149.747276746476
30/08/1901, 148.330947406075
31/08/1901, 149.64576068228
01/09/1901, 150.878372607096
02/09/1901, 144.237030466634
03/09/1901, 142.881565026665
04/09/1901, 141.568377317976
05/09/1901, 140.27561410238
06/09/1901, 138.99858844343
07/09/1901, 137.739460016083
08/09/1901, 136.495850039285
09/09/1901, 135.277104389012
10/09/1901, 134.070291995468
11/09/1901, 133.11861161788
12/09/1901, 132.392953249562
13/09/1901, 131.508889272642
14/09/1901, 130.766695671498
15/09/1901, 130.152553992699
16/09/1901, 129.773675746235
17/09/1901, 127.004368499714
18/09/1901, 126.204460909943
19/09/1901, 124.890203021119
20/09/1901, 123.220265128867
